last_seen,bike_id
2025-12-11T11:01:06.731145,bike_42897
2025-12-11T11:01:16.905439,bike_69322
2025-12-11T11:01:10.131129,bike_76996
2025-12-11T11:01:09.944190,bike_88915
2025-12-11T11:01:13.951888,bike_05082
2025-12-11T11:01:15.872737,bike_46616
2025-12-11T11:01:12.292697,bike_62553
2025-12-11T11:01:07.053460,bike_16978
2025-12-11T11:01:10.294061,bike_24555
2025-12-11T11:01:08.064186,bike_75135
2025-12-11T11:01:10.644103,bike_07197
2025-12-11T11:01:12.670173,bike_72610
2025-12-11T11:01:13.452754,bike_51060
2025-12-11T05:01:12.441904,bike_68582
2025-12-11T11:01:13.613459,bike_21650
2025-12-11T11:01:15.828838,bike_75918
2025-12-11T11:01:08.612992,bike_69688
2025-12-11T11:01:11.864153,bike_71031
2025-12-11T11:01:05.844026,bike_10841
2025-12-11T11:01:13.170743,bike_70717
2025-12-11T11:01:16.471324,bike_52493
2025-12-11T11:01:16.769776,bike_45328
2025-12-11T11:01:10.190701,bike_02619
2025-12-11T11:01:14.300765,bike_46793
2025-12-11T11:01:11.124159,bike_12515
2025-12-11T11:01:05.950600,bike_47386
2025-12-11T11:01:14.370199,bike_06817
2025-12-11T11:01:07.864164,bike_73178
2025-12-11T11:01:16.104142,bike_67806
2025-12-11T11:01:12.050575,bike_51361
2025-12-11T11:01:16.299257,bike_46990
2025-12-11T11:01:14.370196,bike_07675
2025-12-11T11:01:06.584129,bike_22796
2025-12-11T11:01:12.804213,bike_67198
2025-12-10T11:01:08.501841,bike_85184
2025-12-11T11:01:10.064189,bike_80682
2025-12-11T11:01:09.032963,bike_70068
2025-12-11T11:01:16.713063,bike_81874
2025-12-11T11:01:14.004306,bike_71209
2025-12-11T11:01:13.024177,bike_61569
2025-11-29T05:01:04.630614,bike_88825
2025-12-11T11:01:10.693109,bike_46387
2025-12-11T11:01:11.090196,bike_16046
2025-12-11T11:01:15.610659,bike_13069
2025-12-11T11:01:14.104235,bike_81796
2025-12-11T11:01:09.853176,bike_63206
2025-12-11T11:01:08.791189,bike_58123
2025-12-11T11:01:09.305194,bike_08489
2025-12-11T11:01:12.364126,bike_55773
2025-12-11T05:01:06.690141,bike_47368
2025-12-11T11:01:07.344231,bike_23421
2025-12-11T11:01:16.873232,bike_52962
2025-12-11T11:01:11.613508,bike_23828
2025-12-11T11:01:05.959989,bike_77924
2025-12-11T11:01:10.492440,bike_72567
2025-12-11T11:01:15.693747,bike_67424
2025-12-11T11:01:07.850971,bike_58715
2025-12-11T11:01:14.679309,bike_88824
2025-12-11T11:01:13.934192,bike_20706
2025-12-10T23:01:11.818224,bike_85522
2025-12-11T11:01:14.679317,bike_80080
2025-12-11T11:01:10.900181,bike_10852
2025-12-11T11:01:12.944275,bike_67795
2025-12-11T11:01:12.284112,bike_42898
2025-12-11T11:01:14.310039,bike_43762
2025-12-11T11:01:14.224181,bike_51865
2025-12-11T11:01:11.744235,bike_88772
2025-12-11T11:01:14.044163,bike_43289
2025-12-11T11:01:16.604281,bike_89337
2025-12-11T11:01:10.844153,bike_68529
2025-12-11T11:01:13.489411,bike_47484
2025-12-11T11:01:15.192917,bike_47298
2025-12-11T11:01:10.755189,bike_89258
2025-12-11T11:01:15.764257,bike_47865
2025-12-11T11:01:12.024153,bike_51357
2025-12-11T11:01:13.193738,bike_80933
2025-12-11T11:01:09.484118,bike_89009
2025-12-11T11:01:16.010666,bike_57414
2025-12-11T11:01:07.591437,bike_16750
2025-11-29T05:01:06.370685,bike_88764
2025-12-11T11:01:12.813070,bike_44703
2025-12-11T11:01:09.032942,bike_43871
2025-12-11T11:01:13.875672,bike_10892
2025-12-11T11:01:16.104133,bike_72408
2025-12-11T11:01:12.484144,bike_67556
2025-12-11T11:01:11.344178,bike_73110
2025-12-11T11:01:12.533207,bike_77207
2025-12-10T23:01:14.815873,bike_70418
2025-12-11T11:01:11.709989,bike_62094
2025-12-11T11:01:12.692946,bike_78840
2025-12-11T11:01:07.150165,bike_69735
2025-12-11T11:01:15.170428,bike_69009
2025-12-11T11:01:15.653304,bike_70561
2025-12-11T11:01:11.330495,bike_89210
2025-12-11T11:01:14.184161,bike_52615
2025-12-11T11:01:08.684204,bike_77066
2025-12-11T11:01:14.609850,bike_76439
2025-12-11T11:01:09.032945,bike_81831
2025-12-11T11:01:12.444197,bike_76044
2025-12-11T11:01:08.552143,bike_57033
2025-12-11T11:01:15.413301,bike_14692
2025-12-11T11:01:11.935221,bike_69169
2025-12-11T11:01:11.344222,bike_70675
2025-12-11T11:01:10.492453,bike_77479
2025-12-11T11:01:11.872840,bike_75096
2025-12-11T11:01:14.432755,bike_01420
2025-12-10T17:01:06.771706,bike_74373
2025-12-11T11:01:13.480064,bike_68597
2025-12-11T11:01:14.464144,bike_61302
2025-12-11T11:01:15.750679,bike_48057
2025-12-11T05:01:11.267810,bike_74591
